centreline_id,direction,location,class_type,dt,volume_daily
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-26,1359
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-25,600
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-24,2063
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-23,1717
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-22,1854
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-21,2156
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-20,939
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-19,1122
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-18,1118
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-17,1858
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-16,1840
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-15,1769
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-14,1541
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-13,558
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-12,560
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-11,1391
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-10,1396
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-09,1038
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-08,1866
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-07,1588
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-06,1854
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-05,1413
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-04,969
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-03,1004
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-02,1454
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-05-01,769
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-30,1615
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-29,1243
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-28,991
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-27,823
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-26,758
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-25,1875
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-24,1808
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-23,1468
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-22,1367
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-21,759
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-20,347
1142672,Eastbound,BLOOR ST W BIKE STN E/B W OF HURON ST,Cyclists,2019-04-19,348
